site_id,date,forecast,model,target
S1,2026-01-01,1344.0,seasonal_naive,units_produced
S1,2026-01-02,1346.75,seasonal_naive,units_produced
S1,2026-01-03,1172.5,seasonal_naive,units_produced
S1,2026-01-04,877.25,seasonal_naive,units_produced
S1,2026-01-05,1284.5,seasonal_naive,units_produced
S1,2026-01-06,1371.0,seasonal_naive,units_produced
S1,2026-01-07,1336.0,seasonal_naive,units_produced
S1,2026-01-08,1344.0,seasonal_naive,units_produced
S1,2026-01-09,1346.75,seasonal_naive,units_produced
S1,2026-01-10,1172.5,seasonal_naive,units_produced
S1,2026-01-11,877.25,seasonal_naive,units_produced
S1,2026-01-12,1284.5,seasonal_naive,units_produced
S1,2026-01-13,1371.0,seasonal_naive,units_produced
S1,2026-01-14,1336.0,seasonal_naive,units_produced
S2,2026-01-01,1629.0,seasonal_naive,units_produced
S2,2026-01-02,1536.75,seasonal_naive,units_produced
S2,2026-01-03,1564.25,seasonal_naive,units_produced
S2,2026-01-04,951.25,seasonal_naive,units_produced
S2,2026-01-05,1611.5,seasonal_naive,units_produced
S2,2026-01-06,1470.75,seasonal_naive,units_produced
S2,2026-01-07,1488.25,seasonal_naive,units_produced
S2,2026-01-08,1629.0,seasonal_naive,units_produced
S2,2026-01-09,1536.75,seasonal_naive,units_produced
S2,2026-01-10,1564.25,seasonal_naive,units_produced
S2,2026-01-11,951.25,seasonal_naive,units_produced
S2,2026-01-12,1611.5,seasonal_naive,units_produced
S2,2026-01-13,1470.75,seasonal_naive,units_produced
S2,2026-01-14,1488.25,seasonal_naive,units_produced
S3,2026-01-01,1181.0,seasonal_naive,units_produced
S3,2026-01-02,1178.25,seasonal_naive,units_produced
S3,2026-01-03,1115.5,seasonal_naive,units_produced
S3,2026-01-04,711.25,seasonal_naive,units_produced
S3,2026-01-05,1089.5,seasonal_naive,units_produced
S3,2026-01-06,1195.0,seasonal_naive,units_produced
S3,2026-01-07,1144.5,seasonal_naive,units_produced
S3,2026-01-08,1181.0,seasonal_naive,units_produced
S3,2026-01-09,1178.25,seasonal_naive,units_produced
S3,2026-01-10,1115.5,seasonal_naive,units_produced
S3,2026-01-11,711.25,seasonal_naive,units_produced
S3,2026-01-12,1089.5,seasonal_naive,units_produced
S3,2026-01-13,1195.0,seasonal_naive,units_produced
S3,2026-01-14,1144.5,seasonal_naive,units_produced
S4,2026-01-01,1414.75,seasonal_naive,units_produced
S4,2026-01-02,1339.25,seasonal_naive,units_produced
S4,2026-01-03,1298.5,seasonal_naive,units_produced
S4,2026-01-04,920.25,seasonal_naive,units_produced
S4,2026-01-05,1482.0,seasonal_naive,units_produced
S4,2026-01-06,1360.75,seasonal_naive,units_produced
S4,2026-01-07,1391.75,seasonal_naive,units_produced
S4,2026-01-08,1414.75,seasonal_naive,units_produced
S4,2026-01-09,1339.25,seasonal_naive,units_produced
S4,2026-01-10,1298.5,seasonal_naive,units_produced
S4,2026-01-11,920.25,seasonal_naive,units_produced
S4,2026-01-12,1482.0,seasonal_naive,units_produced
S4,2026-01-13,1360.75,seasonal_naive,units_produced
S4,2026-01-14,1391.75,seasonal_naive,units_produced
